Row,C11,C21,C31,C41,C51,C61,C22,C32,C42,C52,C62,C33,C43,C53,C63,C44,C54,C64,C55,C65,C66
006_090,0.306922,0.137106,0.137152,-0.000024,0.000176,0.000021,0.306852,0.137057,-0.000019,-0.000028,-0.000162,0.306989,0.000192,-0.000007,0.000018,0.120920,-0.000122,0.000117,0.120906,0.000133,0.120930
006_091,0.312889,0.138909,0.138895,0.000031,0.000344,-0.000033,0.313147,0.138938,0.000026,0.000018,-0.000359,0.313140,0.000369,0.000036,-0.000040,0.122868,-0.000296,0.000276,0.122889,0.000294,0.122855
006_092,0.316152,0.139877,0.139890,0.000056,0.000390,-0.000056,0.316389,0.139919,0.000062,0.000050,-0.000398,0.316421,0.000398,0.000063,-0.000072,0.123891,-0.000312,0.000301,0.123919,0.000310,0.123898
006_093,0.320295,0.141289,0.141284,0.000102,0.000419,-0.000099,0.320621,0.141342,0.000124,0.000101,-0.000441,0.320583,0.000418,0.000125,-0.000113,0.125191,-0.000391,0.000370,0.125224,0.000377,0.125179
006_094,0.327635,0.143943,0.143924,0.000112,0.000461,-0.000052,0.327857,0.143969,0.000088,0.000132,-0.000401,0.327786,0.000418,0.000170,-0.000085,0.127293,-0.000391,0.000434,0.127302,0.000396,0.127276
006_095,0.331729,0.145458,0.145520,0.000078,0.000518,-0.000084,0.331906,0.145573,0.000079,0.000075,-0.000484,0.332059,0.000460,0.000097,-0.000074,0.128557,-0.000451,0.000476,0.128606,0.000437,0.128595
006_096,0.335988,0.146669,0.146693,0.000146,0.000592,-0.000152,0.336168,0.146744,0.000164,0.000170,-0.000558,0.336257,0.000533,0.000172,-0.000156,0.129779,-0.000496,0.000519,0.129800,0.000477,0.129783
006_097,0.340876,0.148270,0.148295,0.000134,0.000686,-0.000154,0.340862,0.148279,0.000161,0.000162,-0.000667,0.340878,0.000673,0.000160,-0.000159,0.131123,-0.000557,0.000568,0.131123,0.000562,0.131131
006_098,0.345335,0.149908,0.149938,0.000181,0.000716,-0.000192,0.345294,0.149895,0.000186,0.000187,-0.000698,0.345315,0.000708,0.000193,-0.000198,0.132581,-0.000568,0.000576,0.132569,0.000571,0.132589
006_099,0.350159,0.151635,0.151668,0.000245,0.000790,-0.000194,0.350020,0.151636,0.000240,0.000240,-0.000730,0.350134,0.000785,0.000254,-0.000193,0.134070,-0.000610,0.000640,0.134066,0.000636,0.134074
006_100,0.354043,0.152663,0.152755,0.000355,0.000799,-0.000351,0.353863,0.152738,0.000358,0.000354,-0.000730,0.354146,0.000771,0.000361,-0.000345,0.135069,-0.000678,0.000714,0.135098,0.000700,0.135115
