Row,C11,C21,C31,C41,C51,C61,C22,C32,C42,C52,C62,C33,C43,C53,C63,C44,C54,C64,C55,C65,C66
001_075,1.102481,0.444655,0.444668,0.000097,0.000143,-0.000151,1.102692,0.444741,0.000104,0.000124,-0.000134,1.102782,0.000116,0.000125,-0.000151,0.322629,-0.000102,0.000116,0.322697,0.000092,0.322635
001_076,1.113310,0.450493,0.450505,0.000031,0.000021,-0.000067,1.113225,0.450485,0.000024,0.000031,-0.000007,1.113279,0.000010,0.000017,-0.000060,0.325537,-0.000007,0.000038,0.325531,0.000021,0.325549
001_077,1.123697,0.456189,0.456189,-0.000023,-0.000051,0.000023,1.123697,0.456189,-0.000023,-0.000023,0.000051,1.123697,-0.000051,-0.000023,0.000023,0.328536,0.000039,-0.000039,0.328536,-0.000039,0.328536
001_078,1.133568,0.461619,0.461619,-0.000150,-0.000094,0.000150,1.133568,0.461619,-0.000150,-0.000150,0.000094,1.133568,-0.000094,-0.000150,0.000150,0.331342,0.000067,-0.000067,0.331342,-0.000067,0.331342
001_079,1.143598,0.467106,0.467106,0.000132,0.000066,-0.000132,1.143598,0.467106,0.000132,0.000132,-0.000066,1.143598,0.000066,0.000132,-0.000132,0.333948,-0.000038,0.000038,0.333948,0.000038,0.333948
001_080,1.150526,0.470978,0.471023,-0.000017,0.000021,0.000014,1.150656,0.471044,-0.000013,-0.000002,-0.000003,1.151016,-0.000005,-0.000002,0.000010,0.335931,-0.000015,0.000031,0.335923,0.000005,0.335921
001_081,1.160674,0.476523,0.476541,0.000043,-0.000020,-0.000045,1.160866,0.476573,0.000040,0.000076,0.000049,1.160983,-0.000069,0.000081,-0.000049,0.338688,0.000059,-0.000037,0.338696,-0.000077,0.338687
001_082,1.170021,0.481516,0.481459,-0.000042,0.000028,0.000025,1.170067,0.481489,-0.000032,-0.000024,-0.000026,1.169855,0.000010,-0.000019,0.000026,0.341114,-0.000016,0.000016,0.341113,0.000004,0.341080
001_083,1.178033,0.485992,0.486045,0.000150,0.000081,-0.000119,1.178117,0.486076,0.000136,0.000114,-0.000069,1.178348,0.000080,0.000135,-0.000120,0.343394,-0.000035,0.000048,0.343453,0.000042,0.343436
001_084,1.186846,0.490826,0.490800,-0.000032,0.000030,0.000055,1.187077,0.490853,-0.000038,-0.000016,0.000026,1.186962,0.000002,-0.000018,0.000052,0.345704,0.000013,0.000035,0.345713,0.000011,0.345695
001_085,1.196141,0.495842,0.495809,0.000126,0.000011,-0.000135,1.196281,0.495831,0.000119,0.000124,-0.000029,1.196123,0.000011,0.000119,-0.000136,0.348117,0.000008,-0.000022,0.348106,-0.000022,0.348104
001_086,1.202723,0.499445,0.499452,-0.000035,-0.000029,0.000027,1.202936,0.499485,-0.000038,-0.000064,-0.000005,1.202968,0.000005,-0.000057,0.000023,0.349735,-0.000008,-0.000020,0.349745,0.000010,0.349737
001_087,1.211934,0.504369,0.504377,0.000048,0.000027,-0.000075,1.211891,0.504368,0.000055,0.000055,-0.000029,1.211927,0.000026,0.000047,-0.000074,0.352112,-0.000010,0.000011,0.352111,0.000009,0.352119
001_088,1.221094,0.509459,0.509416,-0.000051,-0.000036,0.000017,1.221247,0.509439,-0.000057,-0.000036,0.000023,1.221059,-0.000046,-0.000035,0.000026,0.354627,0.000006,-0.000015,0.354607,-0.000021,0.354606
